cds_id,arxspan_id,version,sm_id,ccle_name,stripped_cell_line_name,patient_id,cellosaurus_id,bam_public_sra_path,internal_bam_filepath,internal_bai_filepath,parent_cell_line,gender,matched_normal,age,primary_site,primary_disease,subtype,subsubtype,origin,mediatype,condition,datatype,sequencing_type,baits,comments,source,sequencing_date,release_date,bam_qc,processing_qc,crc32c_hash,18q1,18q2,18q3,18q4,19q1,19q2,19q3,19q4,20q1,20q2
CDS-XWBhIr,ACH-001270,1,,,127399,PT-EH0u27vT,CVCL_N588,,gs://cclebams/wes/RP-1211/Exome/127399_1/v1/127399_1.bam,gs://cclebams/wes/RP-1211/Exome/127399_1/v1/127399_1.bai,,Unknown,,,soft_tissue,Sarcoma,synovial_sarcoma,,soft_tissue,,,wes,,ICE,"From Cigall Kadoch&#39;s group; Received from Academic lab (Kadoch, Broad)",DEPMAP,7/7/2017,,,,THZXOQ==,,,,,,,,,,
CDS-DiOQRS,ACH-001270,1,,,127399,PT-EH0u27vT,CVCL_N588,,gs://cclebams/rna/G130264/127399_1/current/127399_1.bam,gs://cclebams/rna/G130264/127399_1/current/127399_1.bai,,Unknown,,,soft_tissue,Sarcoma,synovial_sarcoma,,soft_tissue,,,rna,,polyA,"From Cigall Kadoch&#39;s group; Received from Academic lab (Kadoch, Broad)",DEPMAP,10/8/2017,,,,9GXrmg==,,,,,,,,,,
CDS-EeIAfI,ACH-002089,1,,,201T,PT-Cij3r9ei,CVCL_X481,,gs://cclebams/wes/SANGER_201T_LUNG.bam,gs://cclebams/wes/SANGER_201T_LUNG.bai,,Male,,,lung,Lung Cancer,lung_carcinoma,,lung,,,wes,,AGILENT,,SANGER,U,,,,fV98lg==,,,,,,,,,,
CDS-NCGpgY,ACH-000956,1,,,22RV1,PT-KLnVw7Nh,CVCL_1045,,gs://cclebams/wgs/G16435/22Rv1/v1/22Rv1.bam,gs://cclebams/wgs/G16435/22Rv1/v1/22Rv1.bai,,Male,,,prostate,Prostate Cancer,prostate_adenocarcinoma,,prostate,,,wgs,,,CCLE line,CCLE2,6/1/2012,,,,xBhcKQ==,,,,,,,,,,
CDS-Uxo5St,ACH-000956,2,,,22RV1,PT-KLnVw7Nh,CVCL_1045,,gs://cclebams/wes/ccle.wes.gdc/C836.22Rv1.2.bam,gs://cclebams/wes/ccle.wes.gdc/C836.22Rv1.2.bai,,Male,,,prostate,Prostate Cancer,prostate_adenocarcinoma,,prostate,,,wes,,AGILENT,CCLE line,DEPMAP,2/3/2012,,,,5p03Cg==,,,,,,,,,,
CDS-O1JzcF,ACH-000956,1,,,22RV1,PT-KLnVw7Nh,CVCL_1045,,gs://cclebams/hybrid_capture/22RV1_PROSTATE.bam,gs://cclebams/hybrid_capture/22RV1_PROSTATE.bai,,Male,,,prostate,Prostate Cancer,prostate_adenocarcinoma,,prostate,,,hybrid_capture,,,CCLE line,CCLE2,19/1/2010,,,,2YnUhg==,,,,,,,,,,
CDS-Ed8Vnp,ACH-000956,1,,,22RV1,PT-KLnVw7Nh,CVCL_1045,,gs://cclebams/raindance/G16640/22Rv1/current/22Rv1.bam,gs://cclebams/raindance/G16640/22Rv1/current/22Rv1.bai,,Male,,,prostate,Prostate Cancer,prostate_adenocarcinoma,,prostate,,,raindance,,,CCLE line,CCLE2,24/3/2012,,,,Ipdvgg==,,,,,,,,,,
CDS-gBsTdF,ACH-000956,1,,,22RV1,PT-KLnVw7Nh,CVCL_1045,,gs://cclebams/wes/SANGER_22RV1_PROSTATE.bam,gs://cclebams/wes/SANGER_22RV1_PROSTATE.bai,,Male,,,prostate,Prostate Cancer,prostate_adenocarcinoma,,prostate,,,wes,,AGILENT,CCLE line,SANGER,U,,,,BXdUdQ==,,,,,,,,,,
CDS-QOc0fG,ACH-000956,1,,,22RV1,PT-KLnVw7Nh,CVCL_1045,,gs://cclebams/rna/G20502.22Rv1.2.bam,gs://cclebams/rna/G20502.22Rv1.2.bai,,Male,,,prostate,Prostate Cancer,prostate_adenocarcinoma,,prostate,,,rna,,polyA,CCLE line,DEPMAP,24/7/2012,,,,nGZlcA==,,,,,,,,,,
CDS-DCCksZ,ACH-000956,1,,,22RV1,PT-KLnVw7Nh,CVCL_1045,,gs://cclebams/RRBS/G29750/22Rv1/v3/22Rv1.bam,gs://cclebams/RRBS/G29750/22Rv1/v3/22Rv1.bai,,Male,,,prostate,Prostate Cancer,prostate_adenocarcinoma,,prostate,,,RRBS,,,CCLE line,CCLE2,1/4/2013,,,,T0p4rA==,,,,,,,,,,
