,name,namespace,rootEntityType,methodUri,sourceRepo,methodPath,methodVersion,methodName,methodNamespace
0,RNA_aggregate,broad-firecloud-ccle,sample_set,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2FRNA_aggregate/master,dockstore,github.com/broadinstitute/depmap_omics/RNA_aggregate,master,,
1,RNA_pipeline,broad-firecloud-ccle,sample,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2FRNA_pipeline/master,dockstore,github.com/broadinstitute/depmap_omics/RNA_pipeline,master,,
2,rnaseqc2_v1-0_BETA_cfg,broadinstitute_gtex,sample,agora://broadinstitute_gtex/rnaseqc2_v1-0_BETA/4,agora,,4,rnaseqc2_v1-0_BETA,broadinstitute_gtex
3,rsem_v1-0_BETA_cfg,broadinstitute_gtex,sample,agora://broadinstitute_gtex/rsem_v1-0_BETA/6,agora,,6,rsem_v1-0_BETA,broadinstitute_gtex
4,samtofastq_v1-0_BETA_cfg,broadinstitute_gtex,sample,agora://broadinstitute_gtex/samtofastq_v1-0_BETA/6,agora,,6,samtofastq_v1-0_BETA,broadinstitute_gtex
5,star_v1-0_BETA_cfg,broadinstitute_gtex,sample,agora://broadinstitute_gtex/star_v1-0_BETA/7,agora,,7,star_v1-0_BETA,broadinstitute_gtex
6,Aggregate_Fusion_Calls,gkugener,sample_set,agora://gkugener/Aggregate_files_set/2,agora,,2,Aggregate_files_set,gkugener
7,ExonUsage_hg38_fixed,gkugener,sample,agora://gkugener/ExonUsage_fixed/1,agora,,1,ExonUsage_fixed,gkugener
8,hg38_STAR_fusion,gkugener,sample,agora://gkugener/STAR_fusion/17,agora,,17,STAR_fusion,gkugener
9,aggregate_vcfs,jkobject,sample_set,agora://jkobject/aggregate_vcfs/22,agora,,22,aggregate_vcfs,jkobject
10,rnaseq-germline-snps-indels,jkobject,sample,agora://jkobject/rnaseq-germline-snps-indels/7,agora,,7,rnaseq-germline-snps-indels,jkobject
11,rsem_aggregate_results,jkobject,sample_set,agora://jkobject/rsem_aggregate_results/5,agora,,5,rsem_aggregate_results,jkobject
